"Forlag id";"Original tittel";"Internasjonal tittel";"ISBN-prefix"
"26473";"Editions Modulaires Europeennes";"Editions EME";"978-2-8066"
"26474";"Polytechnic Institute of Leira";"Polytechnic Institute of Leira";"978-989-97395"
"26475";"WIP Renewable Energies";"WIP Renewable Energies";"978-3-936338"
"26476";"La Découverte";"La Découverte";"978-2-707"
"26477";"Avestia Publishing";"Avestia Publishing";"978-0-9867183, 978-1-927877"
"26478";"Manifest";"Manifest";"978-82-92866"
"26479";"Institutt for lingvistiske og nordiske studier";"Institutt for lingvistiske og nordiske studier";
"26480";"Biriwa Education Services";"Biriwa Education Services";"978-0-9580587"
"26481";"Éditions Michel de Maule";"Éditions Michel de Maule";"978-2-87623"
"26482";"IOE  Press";"IOE Press";"978-1-85856"
"26483";"Ex Tuto Publishing";"Ex Tuto Publishing";"978-87-92598"
"26484";"RADMA, Research and Development Management";"RADMA, Research and Development Management";"978-0-9559367"
"26485";"Rossi Smith Academic Publishing";"Rossi Smith Academic Publishing";"978-0-9864597"
"26486";"Presses Universitaires de Perpignan";"Presses Universitaires de Perpignan";"978-2-35412"
"26487";"St. Olav forlag";"St. Olav forlag";"978-82-7024"
"26488";"Klartext Verlag";"Klartext Verlag";"978-3-8375"
"26489";"The Institute for Computer Sciences, Social Informatics and Telecommunications Engineering (ICST)";"The Institute for Computer Sciences, Social Informatics and Telecommunications Engineering (ICST)";"978-1-936968"
"26490";"Kendall Hunt";"Kendall Hunt";"978-1-4652"
"26491";"Förlag Göteborgs Universitet";"Förlag Göteborgs Universitet";"978-91-637"
"26492";"Edilivre";"Edilivre";"978-2-332"
"26493";"EuroFM";"EuroFM";"978-94-90694"
"26494";"Larcier";"Larcier";"978-2-8044"
"26495";"Center for Applied Ethics and Philosophy, Hokkaido University";"Center for Applied Ethics and Philosophy, Hokkaido University";"978-4-9904046"
"26496";"European Academy of Bolzano";"European Academy of Bozen";"978-88-88906"
"26497";"Punctum Books";"Punctum Books";"978-0615"
"26498";"Univerzita Komenského v Bratislave, Jesseniova Lekárska fakulta v Martine, Slovenská republika";"Comenius University in Bratislava, Jessenius Faculty of Medicine in Martin, Slovakia";"978-80-89544"
"26499";"Serbian Zeolite Association Beograd";"Serbian Zeolite Association Beograd";"978-86-82139"
"26500";"European Grassland Federation EGF";"European Grassland Federation EGF";"978-9979-881"
"26502";"Oneworld publisher";"Oneworld publisher";"978-1-85168"
"26503";"Ithaca Press";"Ithaca Press";"978-0-86372"
"26505";"ASHRAE";"ASHRAE";"978-1-936504"
"26506";"International Petroleum Technology Conference";"International Petroleum Technology Conference";
"26507";"TUDpress";"TUDpress";"978-3-944331"
"26508";"Najdiplomovky";"Najdiplomovky";"978-80-970589"
"26509";"Medströms Bokförlag";"Medströms Bokförlag";"978-91-7329"
"26510";"Oxford Reports on International Law";"Oxford Reports on International Law";"978-1-9953367"
"26511";"Brinkmann und Bose Verlag";"Brinkmann & Bose";"978-3-922660"
"26512";"Norsk Musikforlag A/S";"Norsk Musikforlag A/S";"978-82-7093"
"26513";"Baylor University Press";"Baylor University Press";"978-0-918954, 978-1-4813, 978-1-6025, 978-1-60258, 978-1-932792"
"26515";"Syngress";"Syngress";
"26516";"Focal Press";"Focal Press";
"26518";"editiones scholasticae";"editiones scholasticae";"978-3-86838"
"26519";"Association for European Transport";"Association for European Transport";"978-1-905701"
"26520";"De Gruyter Open";"De Gruyter Open";"978-83-7656"
"26521";"International Conference on Computer and Information Sciences";"International Conference on Computer and Information Sciences";"978-1-467"
"26522";"Coisceim";"Coisceim";"978-0-9565136"
"26523";"Ubiquity Press";"Ubiquity Press";"978-1-909188"
"26525";"Linnaeus University Press";"Linnaeus University Press";"978-91-87427"
"26526";"The American Foundry Society";"The American Foundry Society";"978-0-8743"
"26527";"Fundación Biblioteca Virtual Miguel de Cervantes";"Fundación Biblioteca Virtual Miguel de Cervantes";"978-84-937853"
"26528";"Verbum Akademisk";"Verbum Akademisk";"978-82-543"
"26529";"The Science and Information Organization";"The Science and Information Organization";"978-0-9893193"
"26530";"J&R Press";"J&R Press";"978-1-907826"
"26531";"Academic foundation";"Academic foundation";"978-93-3327"
"26532";"Sejong University Press";"Sejong University Press";"978-89-86177"
"26533";"Ledizioni";"Ledizioni";"978-88-95"
"26534";"Allkopi Forlag";"Allkopi Forlag";"978-82-998475"
"26535";"ESERA";"ESERA";"978-9963-700"
"26536";"Publications of Kola Science Centre";"Publications of Kola Science Centre";"978-5-91137"
"26537";"University press of Eastern Finland UPEF";"University press of Eastern Finland UPEF";"978-952-5934"
"26539";"CLE International";"CLE International";"978-0-38"
"26540";"UA Editora";"UA Editora";"978-972"
"26541";"Palgrave Pivot";"Palgrave Pivot";"978-1-137"
"26542";"Dmitrij Bulanin";"Dmitrij Bulanin";"978-5-86007"
"26543";"Verlag Traugott Bautz";"Verlag Traugott Bautz";"978-3-88309, 978-3-95948"
"26544";"OpenProceedings";"OpenProceedings";"978-3-89318"
"26545";"Akropolis";"Akropolis";"978-80-7470"
"26546";"M&K Publishing";"M&K Publishing";"978-1-905539"
"26547";"Sapienza Università Editrice";"Sapienza Università Editrice";"978-88-87242, 978-88-958, 978-88-98533"
"26548";"Carlsson Bokförlag";"Carlsson Bokförlag";"978-91-7203"
"26549";"Verlag Ludwig";"Verlag Ludwig";"978-3-86935"
"26550";"Centre international de phonetique appliquee";"Centre international de phonetique appliquee";"978-2-930200"
"26551";"The University of Akron Press";"The University of Akron Press";"978-1-937378"
"26552";"IRED";"Institute of Reseach Engineering and Doctors";"978-981-07"
"26553";"Sismel: Edizioni del Galluzzo";"Medieval culture publications";"978-88-8450"
"26554";"The Institut français des relations internationals";"The Institut français des relations internationals";"978-2-36567"
"26555";"Design Research Society";"Design Research Society";"978-1-912294, 978-6165515"
"26556";"Lapland University of Applied Sciences";"Lapland University of Applied Sciences";"978-952-316"
"26557";"KyungMoonSa";"KyungMoonSa Publishers";"978-89-6105"
"26558";"LexisNexis Österreich";"LexisNexis Österreich";"978-3-7007"
"26559";"CIB: International Council for Research and Innovation in Building and Construction";"CIB: International Council for Research and Innovation in Building and Construction";"978-90-6363"
"26560";"Srednja Europa";"Central Europe";"978-953-6979"
"26561";"Nakladatelstvi Lidove noviny";"Nakladatelstvi Lidove noviny";"978-80-7106"
"26562";"Academic Studies Press";"Academic Studies Press";"978-161811"
"26563";"Izdatelskij dom SAFU";"NARFU publishing house";"978-5-261"
"26564";"NISPAcee Press";"NISPAcee Press";"978-80-89013"
"26565";"Brooklyn Arts Press";"Brooklyn Arts Press";"978-1-936767"
"26566";"Dinamo Forlag";"Dinamo Publishing";"978-82-8071"
"26567";"Greenwood Press";"Greenwood International";"978-0-313"
"26568";"Language Science Press";"Language Science Press";"978-3-929619, 978-3-944675"
"26569";"Artemide Edizioni";"Artemide Edizioni";"978-88-7575"
"26570";"Meson Press";"Meson Press";"978-3-95796"
"26571";"Marshall Cavendish";"Marshall Cavendish";"978-981-232"
"26572";"PHI Learning Private Limited";"PHI Learning Private Limited";"978-81-203"
"26573";"Parmenides Publishing";"Parmenides Publishing";"978-1-930972"
"26574";"Zhejiang University Press";"Zhejiang University Press";"978-7-308"
"26576";"Geração Editorial";"Geração Editorial";"978-85-813"
"26577";"Mathematics Education Research Group of Australasia";"Mathematics Education Research Group of Australasia";"978-1-920846"
"26579";"Marsilio";"Marsilio";"978-88-317"
"26580";"Association of Geographic Information Laboratories for Europe";"Association of Geographic Information Laboratories for Europe";"978-90-816"
"26581";"Edizioni Epoke";"Edizioni Epoke";"978-88-98014"
"26582";"Bundesanstalt für Wasserbau (BAW)";"Federal Waterways Engineering and Research Institute (BAW)";"978-3-939230"
"26583";"International comission on Illumination";"CIE - International comission on Illumination";"978-3-902842"
"26584";"Green Economics Institute";"Green Economics Institute";"978-1-907543"
"26585";"Presses universitaires de Nancy";"Nancy University Press";"978-2-8143"
"26586";"J.Charlton Publishing Ltd.";"J.Charlton Publishing Ltd.";"978-0-9919441"
"26587";"Siirtolaisuusinstituutti";"Migration Institute of Finland";"978-952-58, 978-952-5889"
"26588";"CIDREE: the Consortium of Institutions for Development and Research in Education in Europe";"CIDREE: the Consortium of Institutions for Development and Research in Education in Europe";"978-82-486"
"26589";"Institutionen för utbildningsvetenskap, Lunds universitet";"Institute for Educational Sciences, Lund University, Sweden";"978-91-7473"
"26590";"Murmanskij gosudarstvennyj tekhnitsjeskij universitet";"Murmansk state technological university";"978-5-86185"
"26591";"Södertörns Högskola";"Södertörns Högskola";"978-91-86069, 978-91-8663"
"26592";"Molin & Sorgenfrei Akademiska";"Molin & Sorgenfrei Akademiska";"978-91-875"
"26593";"Hantverkslaboratoriet";"Hantverkslaboratoriet";"978-91-979382"
"26594";"Publicaciones Universidad de Alicante";"Publicaciones Universidad de Alicante";"978-84-9717"
"26595";"Perséfone, Ediciones electrónicas de la AEHM/UMA";"Perséfone, Ediciones electrónicas de la AEHM/UMA";"978-84-900"
"26596";"Cambridges Institutes Press";"Cambridges Institutes Press";"978-0-9910428"
"26597";"Tilde University Press";"Tilde University Press";"978-0-7346"
"26598";"ABA Publishing";"ABA Publishing";"978-1-62722"
"26599";"edition lumière";"edition lumière";"978-3-943"
"26600";"Technische Universität Hamburg-Harburg";"PTechnische Universität Hamburg-Harburg";"978-3-89220"
"26601";"Academic Conferences and Publishing International Limited";"Academic Conferences and Publishing International Limited";"978-1-910309"
"26603";"Hirmer Verlag";"Hirmer Publishers";"978-3-7774"
"26604";"Mel Bay";"Mel Bay";"978-07866"
"26605";"University Press of Ruse";"University Press of Ruse";"978-954-712"
"26606";"World Agroforestry Centre";"World Agroforestry Centre (ICRAF)";"978-92-9059"
"26608";"D'Plácido Editoria";"D'Plácido Editoria";"978-85-67020"
"26609";"Instituto Veracruzano de la Cultura. Collección Voladores";"Instituto Veracruzano de la Cultura. Collección Voladores";"978-607-9038"
"26610";"Stockholm: Institutionen för musik- och teatervetenskap, Stockholms universitet";"Stockholm: Institutionen för musik- och teatervetenskap, Stockholms universitet";"978-91-976961"
"26611";"Halmstad University Press";"Halmstad University Press";"978-91-87045"
"26612";"Instituto de Estudios Auriseculares";"Instituto de Estudios Auriseculares (IDEA)";"978-1-938795"
"26613";"SAN PABLO";"SAN PABLO";"978-9987-09"
"26614";"The International Speech Communication Association (ISCA)";"The International Speech Communication Association (ISCA)";"978-7-5608"
"26615";"Editura Cetatea de Scaun";"Cetatea de Scaun Publishing House";"978-606-537"
"26616";"Bata Press";"Bata Press";"978-9989-819"
"26617";"Penguin Classics";"Penguin Classics";"978-01"
"26618";"St. Petersburg State University of Aerospace Instrumentation (SUAI)";"St. Petersburg State University of Aerospace Instrumentation (SUAI)";"978-5-8088"
"26619";"Venture Publishing INC";"Venture Publishing INC";"978-1-93947"
"26620";"Pelagic Publishing";"Pelagic Publishing";"978-1-907807"
"26621";"Monash University Publishing";"Monash University Publishing";"978-1-922235"
"26622";"Pretoria University Law Press (PULP)";"Pretoria University Law Press (PULP)";"978-1-920538"
"26623";"Forlaget Krippendorf";"Forlaget Krippendorf";"978-82-999"
"26624";"Pegasus";"Pegasus";"978-90-6143"
"26625";"Stockholm University Press";"Stockholm University Press";"978-91-7635"
"18288";"Kunnskapsforlaget";"Kunnskapsforlaget";"978-82-573"
"18289";"KvaN";"KvaN";"978-87-90066"
"18290";"La Librairie Vuibert";"La Librairie Vuibert";"978-2-7117"
"18291";"Lawrence and Wishart";"Lawrence and Wishart";"978-0-85315"
"18292";"Lawrence Erlbaum Associates";"Lawrence Erlbaum Associates";
"18293";"L'Erma di Bretschneider";"L'Erma di Bretschneider";"978-88-7062"
"18294";"Les Belles Lettres";"Les Belles Lettres";"978-2-251"
"18295";"Leuven University Press";"Leuven University Press";"978-90-5867"
"18296";"L'Harmattan";"L'Harmattan";"978-2-7307"
"18297";"Liber";"Liber";"978-91-47, 978-972-9492"
"18298";"Librairie Droz";"Librairie Droz";"978-2-600"
"18299";"Lippincott Williams & Wilkins";"Lippincott Williams & Wilkins";"978-0-316, 978-1-60547, 978-1-901821"
"18300";"Liverpool University Press";"Liverpool University Press";"978-0-85323"
"18301";"Livraria Almedina";"Livraria Almedina";"978-972-40"
"18302";"Livraria Bertrand";"Livraria Bertrand";"978-972-25"
"18303";"London Mathematical Society";"London Mathematical Society";"978-0-9502734"
"18304";"Longman";"Longman";"978-0-4058, 978-0-582"
"18305";"Lucius und Lucius Verlagsgesellschaft";"Lucius und Lucius Verlagsgesellschaft";"978-3-8282"
"18307";"Luther Forlag";"Luther Publishing";"978-82-501, 978-82-531"
"18308";"M. E. Sharpe";"M. E. Sharpe";"978-0-7656"
"18309";"Macmillan Publishers Ltd.";"Macmillan Publishers Ltd.";"978-1-4039"
"18310";"Maik Nauka/Interperiodica";"Maik Nauka/Interperiodica";"978-5-7846"
"18311";"Maney Publishing";"Maney Publishing";
"18312";"Marcel Dekker";"Marcel Dekker";
"18313";"Martin Dunitz";"Martin Dunitz";
"18314";"Brill|Nijhoff";"Brill|Nijhoff";"978-0-412"
"18315";"Maruzen Publishing";"Maruzen Publishing";"978-4-8395"
"18316";"Mary Ann Liebert";"Mary Ann Liebert";"978-0-913113"
"18317";"Materials Research Society";"Materials Research Society";"978-0-931837"
"18318";"Max Niemeyer";"Max Niemeyer";"978-3-484"
"18319";"McGraw-Hill";"McGraw-Hill";"978-0-70, 978-0-7492"
"18320";"Medpharm GmbH Scientific Publishers";"Medpharm GmbH Scientific Publishers";"978-3-88763"
"18321";"Megaloceros forlag";"Megaloceros forlag";"978-82-91851"
"18322";"Mentis Verlag GmbH";"Mentis Verlag GmbH";"978-3-89785, 978-3-95743"
"18323";"Merve Verlag";"Merve Verlag";"978-3-88396"
"18324";"Metropol Verlag";"Metropol Verlag";"978-3-926580"
"18325";"Michigan State University Press";"Michigan State University Press";"978-0-87013"
"18326";"Minard";"Minard";"978-2-85210"
"18327";"Mineralogical Society of America";"Mineralogical Society of America";"978-0-939950"
"18328";"Minerals, Metals & Materials Society";"Minerals, Metals & Materials Society";"978-0-87339"
"18329";"Misjonshøgskolens forlag";"Misjonshøgskolens forlag";"978-82-7721"
"18330";"MIT Press";"MIT Press";"978-0-262"
"18331";"Modern Humanities Research Association";"Modern Humanities Research Association";"978-0-900547"
"18332";"Modern Language Association of America";"Modern Language Association of America";"978-0-87352"
"18333";"Mohr Siebeck";"Mohr Siebeck";"978-3-16"
"18334";"Motilal Banarsidass";"Motilal Banarsidass";"978-81-208"
"18335";"De Gruyter Mouton";"De Gruyter Mouton";"978-0-89925"
"18336";"Multilingual Matters";"Multilingual Matters";"978-0-905028"
"18337";"Multi-Science Publishing";"Multi-Science Publishing";"978-0-906522"
"18338";"Multivers";"Multivers";"978-87-7917"
"18339";"Munksgaard Forlag";"Munksgaard Forlag";"978-87-628"
"18340";"Ugo Mursia Editore";"Ugo Mursia Editore";"978-88-425"
"18341";"Museum Tusculanums Forlag";"Museum Tusculanums Forlag";"978-87-635"
"18342";"National Academy Press";"National Academy Press";"978-0-309"
"18343";"National Trust";"National Trust";"978-0-7078, 978-1-84359"
"18344";"Natur och kultur";"Natur och kultur";"978-91-27"
"18345";"New York Academy of Sciences";"New York Academy of Sciences";"978-0-89072"
"18346";"Nodus Publikationen";"Nodus Publikationen";"978-3-89323"
"18347";"Nomos";"Nomos";"978-3-8329, 978-3-8487"
"18348";"Nordic Academic Press";"Nordic Academic Press";"978-91-89116"
"18349";"Nordicom";"Nordicom";"978-91-88855"
"18350";"Nordisk ministerråd";"Nordisk ministerråd";"978-92-893"
"18351";"Nordiska Afrikainstitutet";"Nordiska Afrikainstitutet";"978-91-7106"
"18352";"Norsk arkitekturforlag";"Norsk arkitekturforlag";"978-82-7532"
"18353";"Norvik Press";"Norvik Press";"978-1-870041"
"18354";"Novus Forlag";"Novus Forlag";"978-82-7099"
"18355";"NRC Research Press";"NRC Research Press";"978-0-660"
"18356";"OceanSide Publications";"OceanSide Publications";"978-0-0936587"
"18357";"Ohio State University Press";"Ohio State University Press";"978-0-8142"
"18358";"Ohmsha";"Ohmsha";"978-4-274"
"18359";"Leo S. Olschki";"Leo S. Olschki";"978-88-222"
"18360";"Open University Press";"Open University Press";"978-0-335, 978-0-7492"
"18361";"Ophrys";"Ophrys";"978-2-7080"
"18362";"Oplandske Bokforlag";"Oplandske Bokforlag";"978-82-7518"
"18363";"Ox Bow Press";"Ox Bow Press";"978-0-918024"
"18364";"Oxford University Press";"Oxford University Press";"978-0-19"
"18365";"G.B. Palumbo & C. Editore";"G.B. Palumbo & C. Editore";"978-88-8020"
"18366";"Pan American Health Organization (PAHO)";"Pan American Health Organization (PAHO)";"978-0-9636369"
"18367";"Paul Åström forlag";"Paul Åström forlag";"978-91-7081"
"18368";"Pax Forlag";"Pax Forlag";"978-82-530"
"18369";"Peeters Publishers";"Peeters Publishers";"978-90-429"
"18370";"Palgrave Macmillan";"Palgrave Macmillan";"978-0-230, 978-1-4039, 978-3-030"
"18371";"Penn State University Press";"Penn State University Press";"978-0-271"
"18372";"Peter Lang Publishing Group";"Peter Lang Publishing Group";"978-0-8204"
"18373";"Phaidon Press";"Phaidon Press";"978-0-7148"
"18374";"Pharmaceutical Press";"Pharmaceutical Press";"978-0-85369"
"18375";"Plenum Publishing";"Plenum Publishing";"978-0-306"
"18376";"Pluto Press";"Pluto Press";"978-0-7453, 978-0-86104"
"18377";"Policy Press";"Policy Press";"978-1-86134"
"18378";"Politisk revy";"Politisk revy";"978-87-7378"
"18379";"Polyteknisk Boghandel og Forlag";"Polyteknisk Boghandel og Forlag";"978-87-502"
"18380";"Portland Press";"Portland Press";"978-1-85578"
"18381";"Prentice-Hall";"Prentice-Hall";"978-0-13"
"18382";"Presses de l'Université de Montréal";"Presses de l'Université de Montréal";"978-2-7606"
"18383";"Presses de L`Université Laval";"Presses de L`Université Laval";"978-2-7637"
"18384";"Presses Universitaires de Bordeaux";"Presses Universitaires de Bordeaux";"978-2-86781"
"18385";"Presses Universitaires de France";"Presses Universitaires de France";"978-2-13"
"18386";"Presses Universitaires de Strasbourg";"Presses Universitaires de Strasbourg";"978-2-86820"
"18387";"Presses Universitaires du Septentrion";"Presses Universitaires du Septentrion";"978-2-907170"
"18388";"Princeton University Press";"Princeton University Press";"978-0-691"
"18389";"Pro-Ed";"Pro-Ed";"978-0-89079"
"18390";"Profil Verlag";"Profil Verlag";"978-3-89019"
"18391";"Psychology Press";"Psychology Press";
"18392";"Psykologisk Forlag";"Psykologisk Forlag";"978-87-7706"
"18393";"Quasar";"Quasar";"978-88-7097"
"18394";"Oldenbourg Wissenschaftsverlag GmbH";"Oldenbourg Wissenschaftsverlag GmbH";"978-3-486"
"18395";"Radcliffe Publishing";"Radcliffe Publishing";
"18396";"Ramtrans Publishing";"Ramtrans Publishing";"978-1-870965"
"18397";"Rhodos";"Rhodos";"978-87-7246"
"18398";"Rockefeller University Press";"Rockefeller University Press";"978-0-87470"
"18399";"Brill|Rodopi";"Brill|Rodopi";"978-90-420"
"18400";"Rombach Druck- und Verlagshaus";"Rombach Druck- und Verlagshaus";"978-3-7930"
"18401";"Roskilde Universitetsforlag";"Roskilde Universitetsforlag";"978-87-7867"
"18402";"Routledge";"Routledge";"978-0-291, 978-0-340, 978-0-367, 978-03673, 978-0-415, 978-0-4158, 978-0-419, 978-0-7146, 978-0-7890, 978-0-8133, 978-0-8240, 978-0-8247, 978-0-88163, 978-0-901286, 978-0-902879, 978-0-906348, 978-0-9627232, 978-1-4106, 978-1-4128, 978-1-58391, 978-1-84169, 978-1-84392, 978-1-84407, 978-1-84872, 978-1-85941, 978-1-85996, 978-1-870905, 978-1-874719, 978-1-906540, 978-1-907322, 978-90-265, 978-90-5702"
"18403";"Routledge Mental Health";"Routledge Mental Health";"978-0-415"
"18404";"RoutledgeCurzon";"RoutledgeCurzon";"978-C_0-415"
"18405";"RoutledgeFalmer";"RoutledgeFalmer";"978-B_0-415"
"18406";"Royal Meteorological Society";"Royal Meteorological Society";"978-0-948090"
"18407";"Royal Society of Chemistry (RSC) Publishing";"Royal Society of Chemistry (RSC) Publishing";"978-0-85404"
"18408";"Royal Society of Medicine Press";"Royal Society of Medicine Press";"978-1-85315"
"18409";"Russell Sage Foundation";"Russell Sage Foundation";"978-0-87154"
"18410";"S. Karger";"S. Karger";"978-3-8055"
"18411";"Sage Publications";"Sage Publications";"978-0-8039, 978-1-4129"
"18412";"Sall Data";"Sall Data";"978-87-7820"
"18413";"Samfundslitteratur";"Samfundslitteratur";"978-87-593"
"18414";"Det Norske Samlaget";"Det Norske Samlaget";"978-82-521"
"18415";"Scandinavian Veterinary Press";"Scandinavian Veterinary Press";"978-82-91743"
"18416";"Schattauer Gmbh";"Schattauer Gmbh";"978-3-7945"
"18417";"School of Oriental and African Studies";"School of Oriental and African Studies";"978-0-7286"
"18418";"Singapore University Press";"Singapore University Press";"978-981-02"
"18419";"Slavica Publishers";"Slavica Publishers";"978-0-89357"
"18420";"Smithsonian Institution Press";"Smithsonian Institution Press";"978-0-87474, 978-1-56098"
"18421";"Society for Industrial and Applied Mathematics";"Society for Industrial and Applied Mathematics";"978-0-89871, 978-1-61197"
"18422";"Society for Underwater Technology";"Society for Underwater Technology";"978-0-906940"
"18423";"Solum";"Solum";"978-82-560"
"18424";"Spartacus";"Spartacus";"978-82-430"
"18425";"Spektrum Akademischer Verlag";"Spektrum Akademischer Verlag";"978-3-8274"
"18426";"SPIE - The International Society for Optics and Photonics";"SPIE - The International Society for Optics and Photonics";"978-0-8194"
"18427";"Springer Publishing Company";"Springer Publishing Company";"978-0-8261"
"18429";"Stanford University Press";"Stanford University Press";"978-0-8047"
"18430";"Stauffenburg Verlag";"Stauffenburg Verlag";"978-3-86057"
"18431";"Suhrkamp";"Suhrkamp";"978-3-518"
"18432";"Sussex Academic Press";"Sussex Academic Press";"978-1-84519"
"18433";"Swedish Science Press";"Swedish Science Press";"978-91-89652, 978-91-97802"
"18434";"Swets & Zeitlinger";"Swets & Zeitlinger";
"18435";"Syddansk Universitetsforlag";"Syddansk Universitetsforlag";"978-87-7492"
"18436";"Symposion Brutus Östlings bokförlag";"Symposion Brutus Östlings bokförlag";"978-91-7139"
"18437";"Synchron Wissenschaftsverlag der Autoren";"Synchron Wissenschaftsverlag der Autoren";"978-3-935025"
"18438";"Sypress forlag";"Sypress forlag";"978-82-91224"
"18439";"Syracuse University Press";"Syracuse University Press";"978-0-8156"
"18441";"Tapir Akademisk Forlag";"Tapir Akademisk Forlag";"978-82-519"
"18442";"Taylor & Francis";"Taylor & Francis";"978-0-203, 978-0-415"
"18443";"Thales";"Thales";"978-91-7235"
"18444";"Thames & Hudson";"Thames & Hudson";"978-0-500"
"18445";"The Society for Imaging Science and Technology";"The Society for Imaging Science and Technology";"978-0-89208"
"18446";"Thieme Medical Publishers";"Thieme Medical Publishers";"978-0-86577, 978-1-60406"
"18447";"Transaction Publishers";"Transaction Publishers";
"18448";"Truman State University Press";"Truman State University Press";"978-0-943549"
"18449";"Uitgeverij Boom";"Uitgeverij Boom";"978-90-5352"
"18450";"Unesco";"Unesco";"978-92-3"
"18451";"Unge Pædagoger";"Unge Pædagoger";"978-87-7044"
"18452";"Unipub forlag";"Unipub forlag";"978-82-7477"
"18453";"United Kingdom Institute for Conservation";"United Kingdom Institute for Conservation";"978-1-871656"
"18454";"United Nations University Press";"United Nations University Press";"978-92-808"
"18455";"Universitetsforlaget";"Scandinavian University Press (Universitetsforlaget)";"978-82-15"
"18456";"University of Birmingham Press";"University of Birmingham Press";"978-1-902459"
"18457";"University of British Columbia Press";"University of British Columbia Press";"978-0-7748"
"18458";"University of California Press";"University of California Press";"978-0-520"
"18459";"University of Chicago Press";"University of Chicago Press";"978-0-226, 978-1-226"
"18460";"University of Delaware Press";"University of Delaware Press";"978-0-87413"
"18461";"University of Georgia Press";"University of Georgia Press";"978-0-8203"
"18462";"University of Hawai'i Press";"University of Hawai'i Press";"978-0-8248"
"18463";"University of Illinois Press";"University of Illinois Press";"978-0-252"
"18464";"University of Michigan Press";"University of Michigan Press";"978-0-472, 978-0-88286"
"18465";"University of Minnesota Press";"University of Minnesota Press";"978-0-8166"
"18466";"University of Nebraska Press";"University of Nebraska Press";"978-0-8032, 978-0-86124"
"18467";"University of New South Wales Press";"University of New South Wales Press";"978-0-86840"
"18468";"University of North Carolina Press";"University of North Carolina Press";"978-0-8078"
"18469";"University of Pittsburgh Press";"University of Pittsburgh Press";"978-0-8229"
"18470";"University of South Carolina Press";"University of South Carolina Press";"978-0-87249"
"18471";"University of Tennessee Press";"University of Tennessee Press";"978-0-87049"
"18472";"University of Texas Press";"University of Texas Press";"978-0-292"
"18473";"University of the West Indies Press";"University of the West Indies Press";"978-976-640"
"18474";"University of Toronto Press";"University of Toronto Press";"978-0-7784, 978-0-8020"
"18475";"University of Wales Press";"University of Wales Press";"978-0-7083"
"18476";"University of Washington Press";"University of Washington Press";"978-0-295"
"18477";"University of Wisconsin Press";"University of Wisconsin Press";"978-0-299"
"18478";"Universitätsverlag Winter";"Universitätsverlag Winter";"978-3-8253"
"18479";"Urban & Fischer";"Urban & Fischer";"978-3-8243"
"18480";"Vandenhoeck & Ruprecht";"Vandenhoeck & Ruprecht";"978-3-525"
"18481";"C.H. Beck";"C.H. Beck";"978-3-406, 978-83"
"18482";"Verlag der Österreichischen Akademie der Wissenschaften";"Austrian Academy of Sciences Press";"978-3-7001"
"18483";"Verlag Ferdinand Schöningh";"Verlag Ferdinand Schöningh";"978-3-506"
"18484";"Verlag Hans Huber";"Verlag Hans Huber";"978-3-456"
"18485";"Verlag J. B. Metzler";"Verlag J. B. Metzler";"978-3-476"
"18486";"Verlag Karl Alber";"Verlag Karl Alber";"978-3-495"
"18487";"Verlag Marie Leidorf";"Verlag Marie Leidorf";"978-3-89646"
"18488";"Verlagsgruppe Beltz";"Verlagsgruppe Beltz";"978-3-7610"
"18489";"Vervuert Verlag";"Vervuert Verlag";"978-84-8489"
"18490";"Vienna University Press (WUV)";"Vienna University Press (WUV)";"978-3-8470, 978-3-8471, 978-3-85114"
"18491";"VS Verlag für Sozialwissenschaften";"VS Verlag für Sozialwissenschaften";"978-3-8100"
"18492";"VSP International Science Publishers";"VSP International Science Publishers";"978-90-6764"
"18493";"Walter de Gruyter (De Gruyter)";"Walter de Gruyter (De Gruyter)";"978-3-11"
"18494";"Wasmuth";"Wasmuth";"978-3-8030"
"18495";"Watson Publishing International";"Watson Publishing International";"978-0-88135"
"18496";"Waxmann Verlag";"Waxmann Verlag";"978-3-8309"
"18497";"Wayne State University Press";"Wayne State University Press";"978-0-8143"
"18498";"West Virginia University Press";"West Virginia University Press";"978-0-937058, 978-1-933202"
"18499";"Westburn Publishers";"Westburn Publishers";"978-0-946433"
"18500";"Westview Press";"Westview Press";
"18501";"White Horse Press";"White Horse Press";"978-1-874267"
"18502";"Whurr Publishers";"Whurr Publishers";"978-1-86156"
"18503";"Wiley-VCH";"Wiley-VCH";"978-3-527"
"18504";"Wilhelm Fink Verlag";"Wilhelm Fink Verlag";"978-3-7705"
"18505";"William B. Eerdmans Publishing Company";"William B. Eerdmans Publishing Company";"978-0-8028"
"18506";"Wissenschaftlicher Verlag Trier";"Wissenschaftlicher Verlag Trier";"978-3-88476"
"18507";"Wissenschaftsverlag Vauk Kiel";"Wissenschaftsverlag Vauk Kiel";"978-3-8175"
"18508";"WIT Press";"WIT Press";"978-1-84564, 978-1-85312"
"18510";"Wydawnictwo Naukowe";"Wydawnictwo Naukowe";"978-83-01"
"18511";"Yale University Press";"Yale University Press";"978-0-300"
"18512";"Ökom Verlag";"Ökom Verlag";"978-3-928244"
"18513";"Åbo Akademis Förlag";"Åbo Akademis Förlag";"978-951-765"
