"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"1095-4244";"1099-1824";"448147";"Wind Energy";"Wind Energy"
"0309-524X";"2048-402X";"448148";"Wind Engineering : The International Journal of Wind Power";"Wind Engineering : The International Journal of Wind Power"
"0084-0416";"1545-6927";"448149";"Winterthur portfolio";"Winterthur portfolio"
"1530-8669";"1530-8677";"448150";"Wireless Communications & Mobile Computing";"Wireless Communications & Mobile Computing"
"1022-0038";"1572-8196";"448151";"Wireless networks";"Wireless networks"
"0929-6212";"1572-834X";"448152";"Wireless personal communications";"Wireless personal communications"
"0937-6429";"1861-8936";"448153";"Wirtschaftsinformatik";"Wirtschaftsinformatik"
"0043-650X";"1943-1120";"448154";"Wisconsin law review";"Wisconsin law review"
"0512-1604";"2568-7476";"448155";"Wissenschaftliche Untersuchungen zum Neuen Testament (WUNT)";"Wissenschaftliche Untersuchungen zum Neuen Testament (WUNT)"
"0340-9570";;"448156";"Wissenschaftliche Untersuchungen zum Neuen Testament 2. Reihe";"Wissenschaftliche Untersuchungen zum Neuen Testament 2. Reihe"
"0043-7131";;"448157";"Wochenblatt für Papierfabrikation";"Wochenblatt für Papierfabrikation"
"0270-7993";"2158-8457";"448158";"Woman's Art Journal";"Woman's Art Journal"
"0957-4042";"1470-1367";"448159";"Women - A Cultural Review";"Women - A Cultural Review"
"0897-4454";"1541-0323";"448160";"Women & Criminal Justice";"Women & Criminal Justice"
"0363-0242";"1541-0331";"448161";"Women & health";"Women & health"
"0195-7732";"1540-9473";"448162";"Women & Politics";"Women & Politics"
"0270-3149";"1541-0315";"448163";"Women & Therapy";"Women & Therapy"
"8755-4550";;"448164";"Women and Language";"Women and Language"
"0950-1029";"1467-9728";"448200";"World Oil Trade";"World Oil Trade"
"1063-6161";"1938-1581";"448166";"Women in Sport & Physical Activity Journal";"Women in Sport & Physical Activity Journal"
"1049-3867";"1878-4321";"448167";"Women's health issues";"Women's health issues"
"1473-3404";"1473-3412";"448168";"Women's Oncology Review";"Women's Oncology Review"
"0049-7878";"1547-7045";"448169";"Women's Studies";"Women's Studies"
"0277-5395";"1879-243X";"448170";"Women's Studies: International Forum";"Women's Studies: International Forum"
"0732-1562";"1934-1520";"448171";"Women's Studies Quarterly";"Women's Studies Quarterly"
"0969-9082";"1747-5848";"448172";"Women's Writing";"Women's Writing"
"0735-6161";;"448173";"Wood and Fiber Science";"Wood and Fiber Science"
"0043-7719";"1432-5225";"448174";"Wood Science and Technology";"Wood Science and Technology"
"0043-7875";;"448175";"Wool Technology and Sheep Breeding";"Wool Technology and Sheep Breeding"
"0266-6286";"1943-2178";"448176";"Word and Image";"Word and Image"
"0043-7956";"2373-5112";"448177";"WORD: Journal of the International Linguistic Association";"WORD: Journal of the International Linguistic Association"
"0043-8006";;"448178";"Wordsworth Circle";"Wordsworth Circle"
"0730-8884";"1552-8464";"448179";"Work and occupations";"Work and occupations"
"1092-8332";"2163-5994";"448180";"Workforce (Costa Mesa, Calif.)";"Workforce (Costa Mesa, Calif.)"
"1014-6954";;"448181";"World animal review (Multilingual ed.)";"World animal review (Multilingual ed.)"
"0043-8243";"1470-1375";"448182";"World archaeology";"World archaeology"
"0258-6770";"1564-698X";"448183";"World Bank Economic Review";"World Bank Economic Review"
"0265-9484";"1467-9698";"448184";"World Banking Abstracts";"World Banking Abstracts"
"1011-4548";"1875-8436";"448185";"World Competition Law and Economics Review";"World Competition Law and Economics Review"
"1468-1838";"1474-3884";"448186";"World Economics";"World Economics"
"0883-2919";"1467-971X";"448187";"World Englishes";"World Englishes"
"0260-4027";"1556-1844";"448188";"World Futures";"World Futures"
"1562-2975";"1814-1412";"448189";"World Journal of Biological Psychiatry";"World Journal of Biological Psychiatry"
"1007-9327";"2219-2840";"448190";"World Journal of Gastroenterology (WJG)";"World Journal of Gastroenterology (WJG)"
"0959-3993";"1573-0972";"448191";"World Journal of Microbiology & Biotechnology";"World Journal of Microbiology & Biotechnology"
"1530-5678";"1941-6741";"448192";"World Journal of Orthodontics (WJO)";"World Journal of Orthodontics (WJO)"
"0724-4983";"1433-8726";"448194";"World Journal of Urology";"World Journal of Urology"
"0196-3570";"1945-8134";"448195";"World literature today";"World literature today"
"0043-8677";;"448196";"World meetings outside United States and Canada";"World meetings outside United States and Canada"
"0043-8693";;"448197";"World meetings, United States and Canada";"World meetings, United States and Canada"
"0194-6161";;"448198";"World meetings. Social & behavioral sciences, human services & management";"World meetings. Social & behavioral sciences, human services & management"
"0043-8790";;"448199";"World Oil";"World Oil"
"0740-2775";"1936-0924";"448201";"World policy journal";"World policy journal"
"0043-8871";"1086-3338";"448202";"World Politics";"World Politics"
"1257-5011";"1989-8886";"448203";"World Rabbit Science";"World Rabbit Science"
"0043-9134";;"448204";"World today";"World today"
"1022-6583";"1875-8177";"448205";"World Trade and Arbitration Materials";"World Trade and Arbitration Materials"
"1474-7456";"1475-3138";"448206";"World Trade Review";"World Trade Review"
"1386-145X";"1573-1413";"448207";"World wide web (Bussum)";"World wide web (Bussum)"
"0043-9339";"1743-4777";"448209";"Worlds Poultry Science Journal";"Worlds Poultry Science Journal"
"1545-102X";"1741-6787";"448210";"Worldviews on Evidence-Based Nursing";"Worldviews on Evidence-Based Nursing"
"1067-1927";"1524-475X";"448211";"Wound Repair and Regeneration";"Wound Repair and Regeneration"
"1044-7946";"1943-2704";"448212";"Wounds (King of Prussia, Pa.)";"Wounds (King of Prussia, Pa.)"
"1387-6732";"1570-6001";"448213";"Written Language & Literacy";"Written Language & Literacy"
"1001-4861";;"448214";"Wuji huaxue xuebao";"Wuji huaxue xuebao"
"1000-6818";;"448215";"Wuli huaxue xuebao";"Wuli huaxue xuebao"
"1000-3290";;"448216";"Wuli xuebao";"Wuli xuebao"
"0342-5932";"2365-8444";"448217";"Würzburger Jahrbücher für die Altertumswissenschaft";"Würzburger Jahrbücher für die Altertumswissenschaft"
"1007-8827";;"448218";"Xinxing tancailiao";"Xinxing tancailiao"
"1001-0521";"1867-7185";"448219";"Xiyou jinshu";"Xiyou jinshu"
"0276-3915";"1545-2522";"449522";"Community & Junior College Libraries";"Community & Junior College Libraries"
"1462-2815";;"449523";"Community Practitioner";"Community Practitioner"
"1469-333X";"1469-3321";"449524";"Competency & Emotional Intelligence Quarterly";"Competency & Emotional Intelligence Quarterly"
"0359-8470";;"449525";"Computer science and information systems reports";"Computer science and information systems reports"
"1439-8001";;"449526";"Computer und Recht International";"Computer und Recht International"
"0010-4787";;"449527";"Computer Weekly";"Computer Weekly"
"0010-4795";;"449528";"Computers and Automation";"Computers and Automation"
"0738-0569";"1528-7033";"449529";"Computers in The Schools";"Computers in The Schools"
"1026-3993";;"449530";"Conference papers / Bank for International Settlements";"Conference papers / Bank for International Settlements"
"0806-3036";;"449531";"Conference proceedings (Universitetet i Oslo. Institutt for informatikk)";"Conference proceedings (Universitetet i Oslo. Institutt for informatikk)"
"0265-9220";"1469-3658";"449532";"Contents Pages in Education";"Contents Pages in Education"
"1460-7468";"1460-7476";"449533";"Continuing Professional Development";"Continuing Professional Development"
"1080-2371";"1538-6899";"449534";"Continuum. Lifelong Learning in Neurology";"Continuum. Lifelong Learning in Neurology"
"0274-726X";;"449535";"Contraceptive Technology Update";"Contraceptive Technology Update"
"1396-1888";;"449536";"Copenhagen working papers in LSP";"Copenhagen working papers in LSP"
"0950-2505";;"449537";"Copyright World";"Copyright World"
"1472-0701";"1758-6054";"449538";"Corporate Governance : The international journal of business in society";"Corporate Governance : The international journal of business in society"
"1591-4232";;"449539";"Corriere Giuridico";"Corriere Giuridico"
"1590-8100";;"449540";"Corriere Tributario";"Corriere Tributario"
"0348-9329";;"449541";"Cosmic and Subatomic Physics Report";"Cosmic and Subatomic Physics Report"
"1023-8875";;"449542";"Creditor Reporting System on Aid Activities";"Creditor Reporting System on Aid Activities"
"1067-9502";"1945-1555";"449543";"Critical Care Alert";"Critical Care Alert"
"0147-2453";"1944-9534";"449544";"Curriculum Review";"Curriculum Review"
"1563-3152";;"449545";"DAC Journal";"DAC Journal"
"0108-3090";;"449546";"Dansk : medlemsblad for Dansklærerforeningens folkeskolefraktion";"Dansk : medlemsblad for Dansklærerforeningens folkeskolefraktion"
"0106-4630";;"449547";"Danske Folkemaal";"Danske Folkemaal"
"0018-2605";;"449548";"Das Historisch-politische Buch : ein Wegweiser durch das Schrifttum";"Das Historisch-politische Buch : ein Wegweiser durch das Schrifttum"
"0586-1691";;"449549";"Datagrundjournalen";"Datagrundjournalen"
"1080-0662";;"449550";"Delphi Informant";"Delphi Informant"
"0018-3075";;"449551";"Den Høgre skolen : tidsskrift for Norsk lektorlag";"Den Høgre skolen : tidsskrift for Norsk lektorlag"
"1062-0346";"1945-158X";"449552";"Dental Implantology Update";"Dental Implantology Update"
"0965-9986";;"449553";"Dental world (London, England)";"Dental world (London, England)"
"0014-0309";"1439-0302";"449554";"Der Erwerbsobstbau : Berichte aus Wissenschaft und Praxis";"Der Erwerbsobstbau : Berichte aus Wissenschaft und Praxis"
"0177-2309";"1438-8693";"449555";"Der Notarzt";"Der Notarzt"
"0723-7065";"1439-5800";"449556";"Der Nuklearmediziner";"Der Nuklearmediziner"
"0947-8965";"1433-0415";"449557";"Der Onkologe";"Der Onkologe"
"0042-1111";"1433-0571";"449558";"Der Urologe B";"Der Urologe B"
"0343-2432";;"449559";"Dermatologie in Beruf und Umwelt = Occupational and Environmental Dermatology";"Dermatologie in Beruf und Umwelt = Occupational and Environmental Dermatology"
"1236-0864";;"449560";"Publikationer från Pedagogiska fakulteten vid Åbo Akademi";"Publikationer från Pedagogiska fakulteten vid Åbo Akademi"
"0802-1589";"0809-7674";"449561";"Det Juridiske fakultetsbiblioteks skriftserie";"Det Juridiske fakultetsbiblioteks skriftserie"
"1502-8682";;"449562";"Det Norske Nobelinstitutts skriftserie";"Det Norske Nobelinstitutts skriftserie"
"1500-3450";;"449563";"Det praktisk-teologiske seminars skriftserie";"Det praktisk-teologiske seminars skriftserie"
"1501-5912";;"449564";"Det var den´ti : årbok ...";"Det var den´ti : årbok ..."
"1477-7282";"1758-6097";"449565";"Development and Learning in Organizations: An International Journal";"Development and Learning in Organizations: An International Journal"
"0803-3048";;"449566";"KUBE";"KUBE"
"0341-8812";;"449567";"Diabetes Journal";"Diabetes Journal"
"0419-0645";;"449568";"Dialoger";"Dialoger"
"0034-3536";"1439-1309";"449569";"Die Rehabilitation";"Die Rehabilitation"
"0042-7993";;"449570";"Die Vogelwelt : Zeitschrift für Vogelkunde und Vogelschutz";"Die Vogelwelt : Zeitschrift für Vogelkunde und Vogelschutz"
"1566-1016";;"449571";"Digital Printing: Science and Technology";"Digital Printing: Science and Technology"
"1120-7965";;"449572";"Diritto & Pratica del Lavoro";"Diritto & Pratica del Lavoro"
"1104-8417";;"449573";"Discussion paper (Nordiska Afrikainstitutet)";"Discussion paper (Nordiska Afrikainstitutet)"
"1406-2313";;"449574";"Dissertationes de mediis et communicationibus Univertatis Tartuensis";"Dissertationes de mediis et communicationibus Univertatis Tartuensis"
"1503-8181";;"449575";"Doktoravhandlinger ved NTNU";"Doktoravhandlinger ved NTNU"
"0803-2378";;"449576";"Dokumentserie (Universitetet i Oslo. Institutt for sykepleievitenskap)";"Dokumentserie (Universitetet i Oslo. Institutt for sykepleievitenskap)"
"1624-5687";"2213-025X";"449577";"Douleurs";"Douleurs"
"0809-3857";;"449578";"Dr scient thesis";"Dr scient thesis"
"0379-4121";;"449579";"Drug Data Report";"Drug Data Report"
"0884-8521";;"449580";"Drug Utilization Review";"Drug Utilization Review"
"0012-6683";;"449581";"Drugs Made in Germany - International Views";"Drugs Made in Germany - International Views"
"0905-295X";;"449582";"DST : dansk skovbrugs tidsskrift";"DST : dansk skovbrugs tidsskrift"
"0802-8680";;"449583";"Dugnad (Elverum)";"Dugnad (Elverum)"
"1397-3002";;"449584";"DUPI working papers";"DUPI working papers"
"0256-596X";"1608-4780";"449585";"Earth Observation Quarterly";"Earth Observation Quarterly"
"0012-8287";;"449586";"Earthquake notes";"Earthquake notes"
"0143-3296";;"449587";"Ecology Abstracts";"Ecology Abstracts"
"0343-754X";"1438-261X";"449588";"Economic Bulletin";"Economic Bulletin"
"0013-0125";"1933-3919";"449589";"Economic Indicators";"Economic Indicators"
"1044-9167";;"449590";"ED Management";"ED Management"
"1096-4304";"1945-0761";"449591";"ED Nursing";"ED Nursing"
"0013-1261";"1938-1379";"449592";"Education Daily";"Education Daily"
"1473-9879";"1475-990X";"449593";"Education for Primary Care";"Education for Primary Care"
"0013-1601";"1552-3527";"449594";"Educational Administration Abstracts";"Educational Administration Abstracts"
"1467-582X";"1467-5838";"449595";"Educational Management Abstracts";"Educational Management Abstracts"
"0266-3368";"1467-5846";"449596";"Educational Technology Abstracts";"Educational Technology Abstracts"
"1527-6619";"1945-709X";"449597";"Educause Review";"Educause Review"
"1237-8801";;"449598";"EFI proceedings";"EFI proceedings"
"0804-8444";;"449600";"Eksterne kvalitetsvurderinger i bakteriologi, mykologi og parasitt";"Eksterne kvalitetsvurderinger i bakteriologi, mykologi og parasitt"
"1386-6710";"1699-2407";"449601";"El Profesional de la Informacion";"El Profesional de la Informacion"
"0736-413X";;"449602";"Electric Utility Week";"Electric Utility Week"
"1040-6190";"1873-6874";"449603";"Electricity Journal";"Electricity Journal"
"1464-9624";;"449604";"Electronic Business Law";"Electronic Business Law"
"0013-550X";;"449606";"Elektro - energiledelse";"Elektro - energiledelse"
"0013-5690";"1893-0328";"449607";"Elektronikk : tidsskrift for IT og telekom";"Elektronikk : tidsskrift for IT og telekom"
"0013-5933";;"449608";"Elementa : tidskrift för matematik, fysik och kemi";"Elementa : tidskrift för matematik, fysik och kemi"
"0802-3212";;"449609";"Elentreprenøren";"Elentreprenøren"
"0199-6304";;"449610";"Emergency Medicine Alert";"Emergency Medicine Alert"
"1054-0725";"1552-3624";"449611";"Emergency Medicine News";"Emergency Medicine News"
"0746-2506";"2168-4332";"449612";"Emergency Medicine Reports";"Emergency Medicine Reports"
"0749-0003";"1545-2514";"449613";"Employee Assistance Quarterly";"Employee Assistance Quarterly"
"0142-5455";"1758-7069";"449614";"Employee Relations";"Employee Relations"
"0745-7790";"1520-6459";"449615";"Employment Relations Today";"Employment Relations Today"
"0968-4891";"1463-4457";"449616";"Empowerment in Organizations";"Empowerment in Organizations"
"0199-8595";"1546-0118";"449617";"Energy Engineering";"Energy Engineering"
"0256-2332";;"449618";"Energy Prices and Taxes";"Energy Prices and Taxes"
"0308-1222";"2040-6029";"449619";"Energy Trends";"Energy Trends"
"1235-7227";;"449620";"English Department publications";"English Department publications"
"0738-1409";;"449621";"English Leadership Quarterly";"English Leadership Quarterly"
"0013-8924";;"449622";"Entomology Abstracts";"Entomology Abstracts"
"0965-3643";"1573-9694";"449646";"Expert Evidence";"Expert Evidence"
"0261-0159";"1758-7093";"449625";"Equal Opportunities International";"Equal Opportunities International"
"0179-3187";;"449626";"Erdöl Erdgas Kohle";"Erdöl Erdgas Kohle"
"0046-2446";"1464-5084";"449627";"Ergonomics Abstracts";"Ergonomics Abstracts"
"0800-3475";;"449628";"Ergoterapeuten";"Ergoterapeuten"
"1071-3778";"1938-1638";"449629";"Ethics & Medics";"Ethics & Medics"
"0280-9559";;"449630";"Etnolore";"Etnolore"
"1028-1185";;"449631";"EU project AIR-CAT";"EU project AIR-CAT"
"1020-7481";"1996-7527";"449632";"Euro Observer - Newsletter of the European Observatory on Health Care Systems";"Euro Observer - Newsletter of the European Observatory on Health Care Systems"
"0949-166X";;"449633";"Euroheat & Power";"Euroheat & Power"
"0014-2433";;"449634";"Euromoney";"Euromoney"
"1021-1675";;"449635";"Eur-Op News";"Eur-Op News"
"1099-6044";"1749-365X";"449636";"Europace, Supplements";"Europace, Supplements"
"0804-3485";;"449637";"Europa-programmet";"Europa-programmet"
"0765-2046";"1878-6936";"449638";"European Biotechnology Newsletter";"European Biotechnology Newsletter"
"1469-6460";;"449639";"European business forum : Europe's perspective on global manageme";"European business forum : Europe's perspective on global manageme"
"0955-534X";"1758-7107";"449640";"European Business Review";"European Business Review"
"0014-2875";;"449641";"European Chemical News";"European Chemical News"
"0309-7234";;"449642";"European Industrial Relations Review";"European Industrial Relations Review"
"1358-8621";;"449643";"European Nurse";"European Nurse"
"1097-704X";;"449644";"Exchange Administrator";"Exchange Administrator"
"0953-3230";"1758-6011";"449645";"Executive Development";"Executive Development"
"1534-3588";"1937-4542";"449648";"Export America";"Export America"
"0263-2772";"1758-7131";"449649";"Facilities";"Facilities"
"1351-668X";;"449650";"Facilities Management";"Facilities Management"
"1100-5025";;"449651";"Faktablad om växtskydd, Jordbruk";"Faktablad om växtskydd, Jordbruk"
"0014-8903";;"449652";"Fauna och flora : populär tidskrift för biologi";"Fauna och flora : populär tidskrift för biologi"
"0801-1052";;"449653";"Fauna of the Hardangervidda";"Fauna of the Hardangervidda"
"0014-5688";"1937-4674";"449654";"FBI Law Enforcement Bulletin";"FBI Law Enforcement Bulletin"
"1086-2218";;"449655";"FDC Reports: Pharmaceutical Approvals Monthly";"FDC Reports: Pharmaceutical Approvals Monthly"
"0014-8962";"1522-239X";"449656";"Feddes Repertorium";"Feddes Repertorium"
"1048-4078";"1520-6513";"449657";"Federal Facilities Environmental Journal";"Federal Facilities Environmental Journal"
"1053-9867";"1533-8363";"449658";"Federal Sentencing Reporter";"Federal Sentencing Reporter"
"0014-9233";"1943-5789";"449660";"Federal Times";"Federal Times"
"0274-5771";"1943-7323";"449661";"Feed International";"Feed International"
"0014-9624";"1945-3000";"449662";"Feedstuffs - The Weekly Newspaper for Agribusiness";"Feedstuffs - The Weekly Newspaper for Agribusiness"
"1065-2701";"2169-0146";"449663";"Festival management and event tourism : An international journal";"Festival management and event tourism : An international journal"
"0181-9801";"1773-0376";"449664";"Feuillets de Radiologie";"Feuillets de Radiologie"
"0807-9250";"0807-9269";"449665";"Filologen";"Filologen"
"0378-651X";;"449666";"Financial Market Trends";"Financial Market Trends"
"0174-7363";;"449667";"Financial times";"Financial times"
"0015-248X";;"449668";"Finsk Tidskrift (FT)";"Finsk Tidskrift (FT)"
"0015-2587";"1930-9805";"449669";"Fire Engineering";"Fire Engineering"
"1047-5141";"1945-5097";"449670";"First Things";"First Things"
"0803-1177";;"449671";"Fjell-folk";"Fjell-folk"
"0015-3710";;"449672";"Flight International";"Flight International"
"0333-2594";;"449673";"Flødevigen rapportserie";"Flødevigen rapportserie"
"0105-1237";;"449674";"Focus : tidsskrift for idræt";"Focus : tidsskrift for idræt"
"1501-3111";"1501-312X";"449675";"Fokus Europa";"Fokus Europa"
"1230-4786";"2299-6885";"449676";"Folia Scandinavica Posnaniensia";"Folia Scandinavica Posnaniensia"
"0807-8017";;"449677";"Folkehøgskolens skriftserie";"Folkehøgskolens skriftserie"
"0333-337X";;"449678";"Follominne";"Follominne"
"1463-6689";"1465-9832";"449679";"Foresight";"Foresight"
"0805-9144";;"449680";"FORM";"FORM"
"1134-2072";;"449681";"Formacion Medica Continuada En Atencion Primaria";"Formacion Medica Continuada En Atencion Primaria"
"0172-1518";"1522-2357";"449682";"Forschung";"Forschung"
"0805-8202";;"449683";"Forskningsnotat (Universitetet i Oslo. Institutt for statsvitenskap)";"Forskningsnotat (Universitetet i Oslo. Institutt for statsvitenskap)"
"1400-8688";;"449684";"Forskningsnytt om økologisk landbruk i Norden";"Forskningsnytt om økologisk landbruk i Norden"
"1501-6064";;"449685";"Forskningsserie (Høgskolen i Akershus)";"Forskningsserie (Høgskolen i Akershus)"
"0806-5934";;"449686";"Forskningsserien (Høgskolen i Agder)";"Forskningsserien (Høgskolen i Agder)"
"1869-9391";"2698-4571";"485122";"GIS. Science : die Zeitschrift für Geoinformatik";"GIS.Science"
"1303-7005";;"485124";"İTÜ dergisi/a, (mimarlık, planlama, tasarım)";"A|Z ITU Journal of the Faculty of Architecture"
"2044-1282";"2044-1290";"485125";"Advances in Mental Health and Intellectual Disabilities";"Advances in Mental Health and Intellectual Disabilities"
"1553-4006";"1553-4014";"485126";"Annual Review of Pathology";"Annual Review of Pathology"
"1672-7975";"1993-0658";"485127";"Applied Geophysics";"Applied Geophysics"
"2374-3670";"2374-3689";"485129";"African Journalism Studies";"African Journalism Studies"
"2319-4170";;"485131";"Biomedical Journal";"Biomedical Journal"
"1672-6421";"2365-9459";"485134";"China Foundry";"China Foundry"
"2036-3176";"2036-7902";"485135";"Critical Ultrasound Journal";"Critical Ultrasound Journal"
"2194-6353";"1948-1837";"485136";"Journal of Globalization and Development (JGD)";"Journal of Globalization and Development (JGD)"
"2191-611X";"2191-6128";"485137";"Language Learning in Higher Education";"Language Learning in Higher Education"
"2193-2336";"2196-6850";"485139";"Militärgeschichtliche Zeitschrift";"Militärgeschichtliche Zeitschrift"
"1120-4052";"2240-4538";"485140";"Flora Mediterranea";"Flora Mediterranea"
"1574-0056";"1875-5712";"485141";"Handbook of Income Distribution";"Handbook of Income Distribution"
"2230-6579";"2230-6587";"485145";"Multimodal Communication";"Multimodal Communication"
"2035-5262";"2036-4601";"485147";"Pólemos Journal of Law, Literature and Culture";"Pólemos Journal of Law, Literature and Culture"
"2193-1402";"2196-7040";"485149";"Statistics & Risk Modeling";"Statistics & Risk Modeling"
"1803-7380";"2336-4408";"485153";"Brünner Beiträge zur Germanistik und Nordistik";"Brünner Beiträge zur Germanistik und Nordistik"
"2049-7555";"2049-7563";"485154";"Journal for the Cognitive Science of Religion";"Journal for the Cognitive Science of Religion"
"2327-4662";;"485155";"IEEE Internet of Things Journal";"IEEE Internet of Things Journal"
"1331-2820";"1848-7769";"485156";"Infektoloski Glasnik";"Croatian Journal of Infection"
"2008-4935";"2008-6970";"485157";"International Aquatic Research";"International Aquatic Research"
"2352-409X";"2352-4103";"485158";"Journal of Archaeological Science: Reports";"Journal of Archaeological Science: Reports"
"1672-0733";"1993-1352";"485159";"Journal of Huazhong University of Science and Technology. Medical Sciences";"Journal of Huazhong University of Science and Technology. Medical Sciences"
"0025-0090";"1588-1024";"485160";"Magyar Filozofiai Szemle";"Magyar Filozofiai Szemle"
"2040-610X";"2040-6118";"486182";"Comedy Studies";"Comedy Studies"
"1556-5297";"1556-5300";"485161";"MCB Molecular and Cellular Biomechanics";"MCB Molecular and Cellular Biomechanics"
"1004-4469";;"485163";"Yanke";"Ophthalmology in China"
"0552-9034";"2076-0906";"485164";"Pakistan Journal of Agricultural Sciences";"Pakistan Journal of Agricultural Sciences"
"1511-3701";"2231-8542";"485165";"Pertanika Journal of Tropical Agricultural Science";"Pertanika Journal of Tropical Agricultural Science"
"1615-5548";"2313-5433";"485166";"Österreichische Zeitschrift für Politikwissenschaft";"Austrian Journal of Political Science"
"2051-9710";"2051-9729";"485167";"Journal of Islamic Archaeology";"Journal of Islamic Archaeology"
"1805-0689";"1805-0697";"485168";"Czech Polar Reports";"Czech Polar Reports"
"1557-1955";"1557-1963";"485169";"Plasmonics";"Plasmonics"
"0079-6468";;"485170";"Progress in Medicinal Chemistry";"Progress in Medicinal Chemistry"
"0375-0906";;"485172";"Revista de Gastroenterologia de Mexico";"Revista de Gastroenterologia de Mexico"
"0039-310X";;"485174";"Studia Canonica";"Studia Canonica"
"1821-6404";"1821-9241";"485175";"Tanzania Journal of Health Research (TJHR)";"Tanzania Journal of Health Research (TJHR)"
"1308-772X";;"485176";"Energy Education Science and Technology Part A: Energy Science and Research";"Energy Education Science and Technology Part A: Energy Science and Research"
"1865-9217";"2212-0289";"485178";"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen";"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen"
"1618-162X";"2196-6826";"485179";"i-com Zeitschrift für interaktive und kooperative Medien";"I-COM: A Journal of Interactive and Cooperative Media"
"2352-1147";;"485181";"Yearbook of International Religious Demography";"Yearbook of International Religious Demography"
"1132-239X";"1988-5636";"485184";"Revista de Psicologia del Deporte";"Revista de Psicologia del Deporte"
"2245-4365";;"485185";"BNAM";"BNAM"
"2409-7527";"2409-1669";"485186";"Multiphysics ...";"Multiphysics ..."
"2322-0937";"2349-5790";"485188";"South Asian Journal of Human Resources Management";"South Asian Journal of Human Resources Management"
"2210-9706";;"485189";"Journal of Rail Transport Planning & Management";"Journal of Rail Transport Planning & Management"
"0375-7471";;"485192";"Quartär";"Quartär"
"2047-704X";"2047-7058";"485194";"Journal for the Academic Study of Religion (JASR)";"Journal for the Academic Study of Religion (JASR)"
"2052-4900";"2052-4919";"485196";"Journal of World Popular Music";"Journal of World Popular Music"
"1756-5839";"1756-5847";"485197";"Writing & Pedagogy";"Writing & Pedagogy"
"2008-9147";;"485198";"Journal of Cell and Molecular Research";"Journal of Cell and Molecular Research"
"1583-4387";;"485205";"Contabilitate şi informatică de gestiune";"Journal of Accounting and Management Information Systems"
"1732-0917";"2449-8696";"485210";"Cracow Indological Studies";"Cracow Indological Studies"
"1843-4711";;"485211";"Journal of Information Systems & Operations Management";"Journal of Information Systems & Operations Management"
"1946-6560";"1946-6579";"485222";"Partner Abuse";"Partner Abuse"
"1802-6419";;"485226";"Aussiger Beiträge";"Aussiger Beiträge"
"2288-2693";"2288-2707";"485227";"Asian Journal of Peacebuilding";"Asian Journal of Peacebuilding"
"1684-0186";;"485229";"Journal of Forest and Livelihood";"Journal of Forest and Livelihood"
"2266-9035";"2045-8541";"485233";"European Drama and Performance Studies";"European Drama and Performance Studies"
"2353-7000";;"485240";"Security Dimensions: International & National Studies";"Security Dimensions: International & National Studies"
"2213-1272";"2213-1280";"485242";"Journal of Language Aggression and Conflict";"Journal of Language Aggression and Conflict"
"1751-2689";"1751-2697";"485244";"Religions of South Asia";"Religions of South Asia"
"2084-3763";"2082-7571";"485247";"Ido Movement for Culture. Journal of Martial Arts Anthropology";"Ido Movement for Culture. Journal of Martial Arts Anthropology"
"2083-6635";"2084-1043";"485252";"ARGUMENT: Biannual Philosophical Journal";"ARGUMENT: Biannual Philosophical Journal"
"1757-2460";"1757-2479";"485262";"Journal for Research into Freemasonry and Fraternalism";"Journal for Research into Freemasonry and Fraternalism"
"2051-5553";"2051-5561";"485263";"Health and Social Care Chaplaincy";"Health and Social Care Chaplaincy"
"2462-6813";"1988-1088";"485270";"Studia Aurea. Revista de Literatura Española y Teoría Literaria del Renacimiento y Siglo de Oro";"Studia Aurea"
"2194-6132";"1944-4370";"485288";"California Journal of Politics and Policy (CJPP)";"California Journal of Politics and Policy (CJPP)"
"2192-4279";"2192-4287";"485289";"Internationales Jahrbuch für philosophische Anthropologie";"Internationales Jahrbuch für philosophische Anthropologie"
"2051-9699";"2051-9702";"485294";"Language and Sociocultural Theory";"Language and Sociocultural Theory"
"2194-6078";"1932-0205";"485295";"Asian Journal of Comparative Law (AsJCL)";"Asian Journal of Comparative Law (AsJCL)"
"1211-3379";;"485298";"Auriga (Zpravy Jednoty klasickych filologu)";"Auriga (Proceedings of the Union of classical philologists)"
"2227-684X";"2227-8575";"485299";"Gland surgery";"Gland surgery"
"1756-7017";"1756-7025";"485302";"International Journal of Information and Decision Sciences";"International Journal of Information and Decision Sciences"
"2248-2547";"2284-5437";"485304";"Studii de lingvistică";"Studii de Lingvistica"
"2255-8632";"2255-8640";"485307";"Landscape architecture and art";"Landscape architecture and art"
"1583-9583";;"485309";"Administraţie şi management public";"Administration and Public Management Review"
"1019-5394";"2309-7477";"485312";"Juridikum (Wien)";"Juridikum (Wien)"
"1579-8372";"2255-517X";"485313";"Mundo Eslavo: Revista de Estudios Eslavos";"Mundo Eslavo: Journal of Slavic Studies"
"1906-7631";;"485314";"Proceedings of 2010 International Conference on Technology Innovation and Industrial Management";"Proceedings of 2010 International Conference on Technology Innovation and Industrial Management"
